PRIVATE  OFFICES  -  AVERAGE  PRICES  BY  GRADE  AND  DISTRICT [MONTHLY],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Grade A Sheung Wan,Grade A Sheung Wan - Remarks,Grade A Central,Grade A Central - Remarks,Grade A Wan Chai / Causeway Bay,Grade A Wan Chai / Causeway Bay - Remarks,Grade A North Point / Quarry Bay,Grade A North Point / Quarry Bay - Remarks,Grade A Tsim Sha Tsui,Grade A Tsim Sha Tsui - Remarks,Grade A Yau Ma Tei / Mong Kok,Grade A Yau Ma Tei / Mong Kok - Remarks,Grade A Kowloon Bay / Kwun Tong,Grade A Kowloon Bay / Kwun Tong - Remarks,Grade B Sheung Wan,Grade B Sheung Wan - Remarks,Grade B Central,Grade B Central - Remarks,Grade B Wan Chai / Causeway Bay,Grade B Wan Chai / Causeway Bay - Remarks,Grade B North Point / Quarry Bay,Grade B North Point / Quarry Bay - Remarks,Grade B Tsim Sha Tsui,Grade B Tsim Sha Tsui - Remarks,Grade B Yau Ma Tei / Mong Kok,Grade B Yau Ma Tei / Mong Kok - Remarks,Grade B Kowloon Bay / Kwun Tong,Grade B Kowloon Bay / Kwun Tong - Remarks,Grade C Sheung Wan,Grade C Sheung Wan - Remarks,Grade C Central,Grade C Central - Remarks,Grade C Wan Chai / Causeway Bay,Grade C Wan Chai / Causeway Bay - Remarks,Grade C North Point / Quarry Bay,Grade C North Point / Quarry Bay - Remarks,Grade C Tsim Sha Tsui,Grade C Tsim Sha Tsui - Remarks,Grade C Yau Ma Tei / Mong Kok,Grade C Yau Ma Tei / Mong Kok - Remarks,Grade C Kowloon Bay / Kwun Tong,Grade C Kowloon Bay / Kwun Tong - Remarks
03-2004,60700,X,93337,,68674,,34552,X,66330,,- ,,n/a,,21747,,47028,X,38286,,22586,,46351,,42434,,n/a,,16053,,52481,X,25818,,22816,,21361,,21378,,n/a,
04-2004,-,,87792,,64269,,-,,65509,,- ,,n/a,,21179,,52063,X,38767,,34550,X,45802,,26098,,n/a,,19597,,35245,,25619,,22836,,24619,,21719,,n/a,
05-2004,38325,X,95563,,63448,X,-,,70531,,- ,,n/a,,22638,,62433,X,34130,,26533,X,48400,,32761,,n/a,,18437,,42557,X,31956,,25933,X,26822,,23732,,n/a,
06-2004,-,,99271,,47262,X,-,,72035,,- ,,n/a,,27845,X,73354,X,54149,,23526,X,38366,,23646,,n/a,,19595,,43455,,30578,,24196,,24043,,20194,,n/a,
07-2004,-,,100977,,45351,X,31618,X,64215,,- ,,n/a,,26578,X,62863,X,70969,X,27163,X,38648,,22765,,n/a,,18614,,41989,X,29217,,25832,,23986,,22709,,n/a,
08-2004,62291,X,101936,,63537,X,35958,X,69591,,- ,,n/a,,-,,42733,X,55551,,24481,X,47364,,25042,,n/a,,21750,,38675,X,28627,,23813,,23380,,23132,,n/a,
09-2004,103762,X,87231,,75087,X,38930,X,76868,,- ,,n/a,,38226,X,44267,X,39026,,23248,X,47713,,31123,,n/a,,19364,,35373,,39083,,25270,,29880,,23386,,n/a,
10-2004,72678,X,98180,,68986,,40536,X,81617,,- ,,n/a,,30239,,60444,X,50753,,34198,X,53876,,25566,,n/a,,25815,,31130,X,36286,,27603,,28210,,27368,,n/a,
11-2004,-,,108900,,58618,,40301,X,81143,,- ,,n/a,,27816,X,48257,X,43150,,25479,,56429,,35698,,n/a,,23953,,37348,,41282,,28565,,32860,,25629,,n/a,
12-2004,32353,X,108558,,64151,,-,,86162,,- ,,n/a,,26155,,71345,,47048,,30174,X,51420,,33535,,n/a,,23969,,26328,X,41151,,23406,,29792,,24835,,n/a,
01-2005,-,,122913,,74475,,50725,X,76836,,- ,,n/a,,35856,X,45827,X,44201,X,27549,X,57379,,26476,,n/a,,26275,,30232,,29020,,29698,,26414,,24923,,n/a,
02-2005,-,,107575,,70161,X,-,,93722,,- ,,n/a,,29998,X,70565,,47468,,34976,X,46999,,30954,,n/a,,30749,,51009,,35963,,33131,X,29786,,25172,,n/a,
03-2005,98736,X,112977,,72042,,41262,X,98468,,- ,,n/a,,37550,,81297,,51505,,34275,,62066,,33970,,n/a,,29337,,37735,,43735,,32658,,33545,,24774,,n/a,
04-2005,101567,X,119417,,80600,,51211,X,80880,,- ,,n/a,,30962,,93870,,54607,,31710,X,54380,,51064,,n/a,,31948,,52352,,47007,,32044,,37268,,29045,,n/a,
05-2005,-,,137866,,82638,,63689,X,98229,,- ,,n/a,,23119,,76317,,69419,,36927,,65624,,59069,,n/a,,29874,,55743,X,48523,,32958,,34191,,33268,,n/a,
06-2005,-,,124784,,63345,X,61380,X,96376,,- ,,n/a,,28834,X,77072,,72648,,40512,X,65627,,63324,,n/a,,32044,,64608,X,42521,,34369,,40503,,30888,,n/a,
07-2005,-,,129476,,77210,X,-,,95501,,154561,X,n/a,,35921,,95460,X,56070,,43119,X,69334,,52748,,n/a,,23237,,59739,X,40357,,35059,,36031,,31602,,n/a,
08-2005,187885,X,137845,,90265,X,55523,X,103593,,- ,,n/a,,35537,,80563,X,65788,,39888,X,71179,,47182,,n/a,,31385,,53022,,49940,,30636,,47077,,32205,,n/a,
09-2005,-,,138000,X,148986,X,-,,92759,X,- ,,n/a,,39303,X,104935,X,68127,,42692,X,68220,,47082,,n/a,,25186,,52934,,44976,,41247,,58350,,36633,,n/a,
10-2005,-,,117257,X,61993,X,-,,100902,,- ,,n/a,,41980,,52000,X,82894,X,36550,X,66654,,48393,,n/a,,31130,,41630,X,46893,,35968,,52304,,35496,,n/a,
11-2005,-,,131774,,110553,X,-,,99785,X,- ,,n/a,,30853,X,-,,47036,X,42045,X,71015,,55050,,n/a,,34608,,64050,X,39385,,39273,,39876,,30226,,n/a,
12-2005,-,,133389,X,85821,X,-,,104460,,- ,,n/a,,42845,X,118054,X,56499,X,38961,X,66084,X,51930,,n/a,,27894,,63985,X,47281,,32836,,37685,,32278,,n/a,
01-2006,-,,125859,,-,,-,,92817,,- ,,n/a,,46482,,-,,61614,X,-,,60388,,40883,,n/a,,30093,,63480,X,42394,,35872,,41897,,37220,,n/a,
02-2006,-,,81487,X,97832,X,-,,91456,X,- ,,n/a,,38623,,50679,X,72526,,43201,X,55037,X,38118,,n/a,,31469,,55679,X,45557,,38621,,40819,,31376,,n/a,
03-2006,50919,X,141656,,64316,X,-,,98485,,143376,X,n/a,,41295,X,-,,63404,,38793,X,61602,,47133,,n/a,,37573,,61475,X,47271,,37966,,41001,,33777,,n/a,
04-2006,58225,X,153654,,99160,,54006,X,88019,,- ,,n/a,,43271,,92101,X,60351,,42651,X,61567,,41440,,n/a,,30761,,73526,X,50366,,38279,,44427,,35207,,n/a,
05-2006,105771,X,116559,,91304,X,-,,89667,X,- ,,n/a,,44818,,104568,X,63992,,46222,X,62927,,50346,,n/a,,32977,,52202,X,51196,,38287,,44776,,33055,,n/a,
06-2006,-,,129988,,85048,X,62802,X,99000,X,- ,,n/a,,49439,X,-,,59771,,37952,X,72200,,57133,,n/a,,42146,,51502,X,48805,,40237,,39884,,35406,,n/a,
07-2006,-,,123161,X,77321,X,-,,112875,,- ,,n/a,,30365,X,-,,68559,,39727,X,69473,,43662,,n/a,,34827,,68670,X,55237,,37705,,44012,,33730,,n/a,
08-2006,-,,149596,X,138249,X,67786,X,109607,,- ,,n/a,,38274,,-,,60348,,42115,X,70691,,47308,,n/a,,32539,,50568,X,46655,,39343,,40565,,33544,,n/a,
09-2006,-,,119905,,74568,X,-,,107059,,- ,,n/a,,31142,X,91685,X,77158,,43817,X,79766,,40258,,n/a,,37919,,68683,X,52293,,40343,,39766,,40379,,n/a,
10-2006,82187,X,128109,,79948,X,66022,X,94429,X,- ,,n/a,,53216,X,94979,X,58882,,37147,X,69863,,50921,,n/a,,37590,,54907,,50106,,41738,,39510,,31980,,n/a,
11-2006,-,,147105,,91748,X,-,,105403,X,- ,,n/a,,44589,X,-,,63395,,26688,X,73967,,38799,,n/a,,38065,,-,,50671,,38079,X,50134,,34655,,n/a,
12-2006,-,,136072,,103462,X,-,,90122,,- ,,n/a,,36011,,-,,59280,,50178,X,58161,,54400,,n/a,,38921,,67539,X,48070,,44206,,42966,,36491,,n/a,
01-2007,50572,X,123307,X,123372,X,-,,96887,,- ,,n/a,,41975,,70788,X,67917,,41572,X,61791,,48034,,n/a,,37752,,53364,,48658,,45187,,40411,,34729,,n/a,
02-2007,85670,X,142541,,87489,X,-,,74562,X,- ,,n/a,,39572,X,88863,X,59252,,-,,78408,,58443,,n/a,,37791,,58167,,52714,,36691,,45982,,33921,,n/a,
03-2007,-,,131474,,119977,,-,,97479,X,- ,,n/a,,45863,X,97499,,74323,,-,,64098,,43242,,n/a,,45247,,80248,X,56307,,44586,,47041,,38877,,n/a,
04-2007,-,,144361,,107637,X,-,,69213,X,- ,,n/a,,54916,X,89742,,72578,X,42134,X,67094,,46193,,n/a,,45381,,73636,,58301,,44578,,55891,,40749,,n/a,
05-2007,-,,147854,,95107,X,58351,X,109968,,- ,,n/a,,48954,,81272,X,57439,X,47230,X,77412,,49309,,n/a,,46822,,35633,X,61809,,39826,,55309,,41438,,n/a,
06-2007,93046,X,151540,,101511,X,-,,106061,,- ,,n/a,,56274,,98298,,65245,,50466,X,70162,,45101,,n/a,,44501,,80195,X,60814,,47537,,50616,,38729,,n/a,
07-2007,-,,150797,,130119,,63080,X,83162,X,- ,,n/a,,62551,,79638,X,77723,,47587,X,84500,,53952,,n/a,,53500,,77276,,56565,,47974,,51942,,40504,,n/a,
08-2007,-,,159220,,120545,X,68298,,105341,,- ,,n/a,,47633,,112795,,79700,,49072,X,81979,,58789,,n/a,,50626,,72549,,71834,,54376,,46492,,42975,,n/a,
09-2007,80407,X,142315,,115366,,72246,X,108918,X,- ,,n/a,,70866,X,102510,X,76554,,48427,X,78610,,69875,,n/a,,49668,,100126,,59841,,51283,,51766,,44244,,n/a,
10-2007,157646,X,156428,,83901,,-,,111306,,169070,X,n/a,,56556,,112103,,74160,,-,,78299,,52067,,n/a,,58611,,104717,,62280,,51591,,53666,,47367,,n/a,
11-2007,-,,183002,,85325,,72101,,108750,,- ,,n/a,,60699,,133030,,91685,,48416,X,90788,,61108,,n/a,,56598,,77327,,72232,,50596,,60495,,48536,,n/a,
12-2007,-,,196226,,98448,,72404,X,124358,,- ,,n/a,,67372,,163673,X,89301,,52413,X,93843,,50023,,n/a,,55492,,94091,X,73037,,52252,,62634,,49178,,n/a,
