PRIVATE  FLATTED  FACTORIES  -  AVERAGE  RENTS  AND  PRICES [MONTHLY],,,,,,,,,,,,
Month,Rents (Hong Kong),Rents (Hong Kong) - Remarks,Rents (Kowloon),Rents (Kowloon) - Remarks,Rents (New Territories),Rents (New Territories) - Remarks,Prices (Hong Kong),Prices (Hong Kong) - Remarks,Prices (Kowloon),Prices (Kowloon) - Remarks,Prices (New Territories),Prices (New Territories) - Remarks
01-2021,195,,196,,143,,77574,Z,90597,,60475,
02-2021,178,,207,,157,,97181,Z,83684,,58893,
03-2021,185,,210,,156,,85694,,92090,,64560,
04-2021,197,,205,,149,,84862,,84718,,62504,
05-2021,204,,218,,151,,95623,,89039,,65213,
06-2021,193,,222,,158,,109313,,88684,,63653,
07-2021,208,,221,,154,,104008,,90784,,67589,
08-2021,199,,221,,166,,98103,Z,91900,,60290,
09-2021,190,,219,,164,,111644,Z,98330,,65636,
10-2021,214,,225,,162,,100152,Z,84333,,62580,
11-2021,199,,229,,156,,95840,,85216,,64421,
12-2021,210,,212,,161,,93677,Z,91246,,64374,
01-2022,204,,212,,149,,98774,Z,95866,,61477,
02-2022,211,,222,,163,,77352,Z,84686,,61250,
03-2022,213,,217,,159,,90141,Z,94059,,67946,
04-2022,202,,206,,151,,93265,Z,89074,,65649,
05-2022,198,,220,,158,,72791,Z,88068,,62724,
06-2022,208,,223,,168,,115305,Z,93753,,71024,
07-2022,195,,229,,160,,86110,Z,88518,,65221,
08-2022,195,,229,,172,,91813,Z,85916,,63895,
09-2022,213,,225,,167,,80973,Z,92414,,56356,
10-2022,200,,224,,164,,87283,Z,73743,,58021,
11-2022,195,,229,,164,,73398,Z,89645,,60976,
12-2022,199,,226,,168,,98426,Z,81806,,65289,
01-2023,204,,216,,155,,92389,Z,78834,,58922,
02-2023,185,,224,,178,,62655,Z,86473,,63153,
03-2023,201,,224,,173,,69564,Z,87924,,59499,
04-2023,196,,215,,159,,84199,Z,81530,,58808,
05-2023,199,,226,,168,,76881,Z,79993,,57678,
06-2023,198,,228,,168,,87554,Z,83176,,60435,
07-2023,222,,225,,167,,69933,Z,79215,,59700,
08-2023,200,,225,,171,,75447,Z,96416,,60744,
09-2023,203,,222,,171,,62173,Z,74261,Z,59537,
10-2023,222,,228,,172,,73164,Z,79696,Z,54613,
11-2023,209,,230,,166,,76460,Z,79503,,51066,
12-2023,183,,222,,167,,97026,Z,87752,,60309,
01-2024,204,,204,,161,,89618,Z,68961,,55350,
02-2024,196,,229,,166,,69505,Z,88575,,57897,
03-2024,201,,226,,169,,74489,Z,77708,,57630,
04-2024,201,,215,,167,,75266,Z,77410,,54537,
05-2024,207,,224,,170,,71138,Z,76900,,54767,
06-2024,204,,223,,167,,57582,Z,79084,,48889,
07-2024,205,,219,,172,,63421,Z,71487,,50040,
08-2024,199,,226,,178,,51749,Z,64536,,52932,
09-2024,206,,222,,167,,93698,Z,73131,,45525,
10-2024,190,P,249,P,163,P,68235,PZ,63418,P,44075,P
11-2024,200,P,257,P,160,P,115207,PZ,73184,P,48871,P
12-2024,182,P,255,P,163,P,69569,PZ,82967,P,43338,P
01-2025,192,P,224,P,156,P,60933,PZ,78186,P,45854,P
,,,,,,,,,,,,
